Week,Manager Name,Employee Name,Composite Assessments Daily,Validated Claims Daily,Extended Day Supply %,CMR Assessment Count,COA Functional Assessment Count,Total Care Questions Completed,Projected Time,On Que %,Calls/Day,AHD Warm Transfer Count,HIP Referral Count
Week 1,Alicia Morgan,Jordan Lee,38,15,72.7,7,7,49,0.31,83.7,69,3,10
Week 1,Alicia Morgan,Maya Patel,31,13,72.8,6,7,67,0.68,91.5,69,8,4
Week 1,Alicia Morgan,Ethan Brooks,32,30,79.5,3,6,79,0.54,86.7,48,14,6
Week 1,Alicia Morgan,Sofia Ramirez,21,14,82.3,8,9,73,0.41,82.7,64,10,2
Week 1,Brian Carter,Noah Williams,30,14,86.9,12,9,71,0.35,83.2,49,14,5
Week 1,Brian Carter,Olivia Chen,20,19,95.4,9,8,64,0.71,88.2,58,7,4
Week 1,Brian Carter,Marcus Johnson,26,14,88.4,5,12,81,0.4,89.9,52,12,9
Week 1,Brian Carter,Olivia  Chen,25,22,94.8,3,7,37,0.84,88.8,39,5,10
Week 1,Danielle Brooks,Liam Davis,28,18,89.7,9,14,64,0.31,84.4,70,10,5
Week 1,Danielle Brooks,Ava Martinez,36,25,96.2,9,9,49,1.0,84.4,66,3,1
Week 1,Danielle Brooks,Caleb Wilson,21,16,88.9,9,13,39,0.51,92.1,64,10,5
Week 1,Danielle Brooks,Nora Anderson,35,12,90.4,4,14,69,0.8,95.1,56,3,5
Week 2,Alicia Morgan,Jordan Lee,31,17,84.3,7,12,83,0.34,97.5,75,6,9
Week 2,Alicia Morgan,Maya Patel,37,18,76.1,5,12,84,0.94,97.6,73,7,8
Week 2,Alicia Morgan,Ethan Brooks,18,15,97.1,7,7,38,0.39,91.6,40,3,8
Week 2,Alicia Morgan,Sofia Ramirez,20,29,92.7,5,14,65,0.96,84.8,68,11,7
Week 2,Brian Carter,Noah Williams,24,29,92.4,6,8,60,1.0,93.0,63,10,8
Week 2,Brian Carter,Olivia Chen,21,19,78.1,8,4,72,0.64,92.0,35,3,1
Week 2,Brian Carter,Marcus Johnson,25,14,96.4,8,5,67,0.39,93.4,48,10,3
Week 2, Brian Carter,Grace Thompson,36,30,84.8,10,10,47,0.28,93.2,57,8,7
Week 2,Danielle Brooks,Liam Davis,32,13,90.2,4,4,60,0.78,95.6,41,5,4
Week 2,Danielle Brooks,Ava Martinez,24,29,84.1,9,6,52,0.57,96.9,39,9,9
Week 2,Danielle Brooks,Caleb Wilson,21,13,89.6,11,4,40,0.94,96.4,45,8,8
Week 2,Danielle Brooks,Nora Anderson,33,18,95.3,3,6,59,0.2,88.6,64,6,7
Week 3,Alicia Morgan,Jordan Lee,35,27,76.2,7,7,38,0.66,91.2,55,2,1
Week 3,Alicia Morgan,Maya Patel,36,27,85.6,11,6,38,0.97,83.4,46,3,10
Week 3,Alicia Morgan,Ethan Brooks,20,19,,12,7,72,0.68,92.5,61,12,10
Week 3,Alicia Morgan,Sofia Ramirez,36,28,80.5,7,7,77,0.77,86.1,60,4,5
Week 3,Brian Carter,Noah Williams,32,22,97.1,4,4,64,0.7,91.6,41,3,9
Week 3,Brian Carter,Olivia Chen,24,28,79.2,8,5,50,0.5,84.7,69,13,5
Week 3,Brian Carter,Marcus Johnson,37,28,72.2,11,8,77,0.28,96.9,51,3,2
Week 3,Brian Carter,Grace Thompson,35,16,79.4,12,7,80,0.47,93.7,51,10,8
Week 3,Danielle Brooks,Liam Davis,26,13,74.5,9,8,37,0.2,95.1,75,6,3
Week 3,Danielle Brooks,Ava Martinez,32,29,91.1,11,4,42,0.26,97.0,44,10,1
Week 3,Danielle Brooks,Caleb Wilson,29,30,86.9,9,6,37,0.45,105.0,37,7,4
Week 3,Danielle Brooks,Nora Anderson,25,15,81.5,11,10,74,0.8,97.7,50,4,3
Week 4,Alicia Morgan,Jordan Lee,31,12,76.8,8,10,77,0.89,95.8,52,4,2
Week 4,Alicia Morgan,Maya Patel,30,13,95.2,6,7,64,0.48,95.9,49,5,1
Week 4,Alicia Morgan,Ethan Brooks,24,24,80.9,4,8,57,0.71,88.8,69,7,1
Week 4,Alicia Morgan,Sofia Ramirez,21,20,76.8,7,4,41,0.68,87.9,55,8,10
Week 4,Brian Carter,Noah Williams,34,15,82.4,12,7,51,0.24,89.4,68,14,9
Week 4,Brian Carter,Olivia Chen,24,23,83.6,8,13,55,,84.1,54,10,5
Week 4,Brian Carter,Marcus Johnson,31,22,82.9,7,12,43,0.35,93.3,59,12,3
Week 4,Brian Carter,Grace Thompson,37,30,80.1,11,4,54,0.43,89.3,72,11,6
Week 4,Danielle Brooks,Liam Davis,32,26,83.9,6,12,65,0.83,98.3,45,12,2
Week 4,Danielle Brooks,Nora Anderson ,27,28,89.9,12,9,40,0.85,94.8,54,5,4
Week 4,Danielle Brooks,Caleb Wilson,22,12,73.2,10,13,84,0.26,89.0,75,11,4
Week 4,Danielle Brooks,Nora Anderson,30,27,82.8,5,14,79,0.2,94.8,41,14,7
